Ticker,Name,Sector,Market Cap (Millions),Beta,Timeliness,5-Year Average Dividend Yield,% Above 5-Year Average Dividend Yield,Dividend Yield,P/E Ratio,5-Year Average P/E Ratio,Dividend Safety,Dividend Growth (Latest),5-Year Dividend Growth,20-Year Dividend Growth,Dividend Growth Streak (Years),Uninterrupted Dividend Streak (Years),Ex-Dividend Date,Payment Frequency,Payout Ratio,Net Debt to Capital,Net Debt to EBITDA,Years of Positive Free Cash Flow in Last 10,Recession Dividend,Recession Return,Payment Schedule
VST,Vistra,Utilities,8879.5,0.76,May be undervalued,2.62,26,3.3,4.5,12,60,11,,,1,1,6/15/2021,quarterly,-42,0.66,3.5,4,,,"Mar, Jun, Sep, Dec"
KMI,Kinder Morgan,Energy,43095,0.82,May be undervalued,4.6,24,5.72,10.2,8.4,61,2.9,-8,,3,4,4/29/2021,quarterly,42,0.49,4.76,8,,,"Feb, May, Aug, Nov"
OGE,OGE Energy,Utilities,7048.1,0.63,May be undervalued,3.69,24,4.57,17.1,17.7,70,3.9,9,4,14,26,7/9/2021,quarterly,75,0.57,4.93,5,Increased,-31,"Jan, Apr, Jul, Oct"
SJI,South Jersey Industries,Utilities,2794.1,0.43,May be undervalued,3.63,23,4.47,17,21.9,75,2.5,3,6,21,30,6/9/2021,quarterly,66,0.67,7.03,0,Increased,-9,"Apr, Jul, Oct, Dec"
GILD,Gilead Sciences,Healthcare,85397,0.43,May be undervalued,3.37,23,4.14,10,9.5,70,4.4,16,,5,5,6/14/2021,quarterly,37,0.55,1.78,10,,4,"Mar, Jun, Sep, Dec"
CMA,Comerica,Financials,10202.9,1.17,May be undervalued,3.07,23,3.77,12.9,13.1,50,0,27,3,11,11,6/14/2021,quarterly,44,0,,10,Cut,-73,"Jan, Apr, Jul, Oct"
EIX,Edison International,Utilities,22231.3,0.58,May be undervalued,3.7,22,4.53,12.6,15.2,60,3.9,8,6,17,17,3/30/2021,quarterly,56,0.59,3.13,1,Increased,-57,"Jan, Apr, Jul, Oct"
SLG,SL Green Realty,Real Estate,5628.8,1.28,May be undervalued,3.67,22,4.46,18.9,20.1,60,2.8,3,4,0,0,5/27/2021,monthly,60,0.51,13.39,10,Cut,-92,
CVX,Chevron,Energy,212664.9,1.04,May be undervalued,4.03,21,4.88,17.6,18.9,65,3.9,4,7,33,33,5/18/2021,quarterly,-875,0.25,1.16,6,Increased,-34,"Mar, Jun, Sep, Dec"
DEI,Douglas Emmett,Real Estate,6313.4,0.78,May be undervalued,2.58,21,3.12,23.5,23.5,61,0,6,,10,11,6/29/2021,quarterly,73,0.54,8.36,10,Cut,-74,"Jan, Apr, Jul, Oct"
PBA,Pembina Pipeline,Energy,18601,0.97,May be undervalued,5.05,21,6.11,10.4,10,80,0,7,5,9,22,6/24/2021,monthly,61,0.45,3.38,3,Maintained,,
HRB,H&R Block,Consumer Discretionary,4583,0.65,May be undervalued,3.93,20,4.72,7.6,12.8,57,3.8,5,7,4,22,6/24/2021,quarterly,80,,1.91,10,Maintained,-16,"Jan, Apr, Jul, Oct"
PSX,Phillips 66,Energy,40327.6,1.3,May be undervalued,3.35,18,3.96,17.5,15.7,65,0,11,,8,8,5/21/2021,quarterly,-117,0.42,2.54,9,,,"Mar, Jun, Sep, Dec"
AXS,AXIS Capital Holdings Limited,Financials,4397.4,0.7,May be undervalued,2.75,18,3.25,10,12.1,45,2.4,6,,17,17,6/28/2021,quarterly,198,0.1,1.16,9,Increased,-52,"Jan, Apr, Jul, Oct"
ALE,ALLETE,Utilities,3681.4,0.65,May be undervalued,3.06,18,3.6,21.5,20.5,75,2,4,-1,10,15,5/13/2021,quarterly,77,0.41,4.5,5,Increased,-45,"Mar, Jun, Sep, Dec"
NWN,Northwest Natural Holding Company,Utilities,1695,0.35,May be undervalued,2.99,17,3.49,20.8,27,61,0.5,1,2,66,66,4/29/2021,quarterly,72,0.61,5.52,4,,,"Feb, May, Aug, Nov"
MPLX,MPLX,Energy,32059.5,0.91,May be undervalued,7.62,17,8.88,7.8,9.1,41,0,9,,8,8,5/6/2021,quarterly,67,0.6,3.74,9,,,"Feb, May, Aug, Nov"
BTI,British American Tobacco p.l.c.,Consumer Staples,91711.7,0.61,May be undervalued,6.08,16,7.06,8.9,10.5,45,4,6,10,21,21,7/8/2021,quarterly,64,0.39,3.29,10,Increased,-31,"Feb, May, Aug, Nov"
FLIC,First of Long Island Corporation,Financials,530.1,0.67,May be undervalued,2.97,16,3.44,12.6,13.5,70,5.6,7,10,27,27,3/9/2021,quarterly,40,0.14,,10,Increased,1,"Jan, Mar, Jul, Oct"
BXP,Boston Properties,Real Estate,19041.1,0.9,May be undervalued,2.78,15,3.21,28,27.1,62,0,9,3,5,10,6/29/2021,quarterly,96,0.6,7.41,10,Cut,-68,"Jan, Apr, Jul, Oct"
POR,Portland General Electric,Utilities,4500,0.47,May be undervalued,3.03,14,3.45,19.3,19.5,73,5.5,6,,14,14,6/24/2021,quarterly,55,0.56,3.51,4,Increased,-37,"Jan, Apr, Jul, Oct"
CNQ,Canadian Natural,Energy,44919.8,1.28,May be undervalued,3.63,13,4.1,11,13.5,70,11,13,,19,19,6/17/2021,quarterly,248,0.43,1.68,7,Increased,-55,"Jan, Apr, Jul, Oct"
MRK,Merck,Healthcare,191676.8,,May be undervalued,2.98,13,3.38,12.5,15.9,99,6.6,6,4,9,30,6/14/2021,quarterly,43,0.5,1.28,10,Maintained,-57,"Jan, Apr, Jul, Oct"
PRU,Prudential Financial,Financials,41326.7,1.04,May be undervalued,3.92,13,4.42,8.8,7.8,75,4.5,13,,12,12,5/24/2021,quarterly,37,0.25,4.97,10,Cut,-88,"Mar, Jun, Sep, Dec"
VLO,Valero Energy,Energy,33641,1.35,May be undervalued,4.26,13,4.81,23.6,12.5,50,0,18,21,10,10,5/14/2021,quarterly,-75,0.41,2.22,9,Cut,-76,"Mar, Jun, Sep, Dec"
TRP,TC Energy,Energy,52012.2,0.78,May be undervalued,4.75,13,5.35,8.9,9.2,61,7.4,9,7,20,20,6/29/2021,quarterly,48,0.61,4.84,2,Increased,-41,"Jan, Apr, Jul, Oct"
NJR,New Jersey Resources,Utilities,4182.1,0.53,May be undervalued,2.75,12,3.08,22,21.5,74,6.4,7,6,25,29,6/15/2021,quarterly,48,0.57,5.43,4,Increased,-5,"Jan, Apr, Jul, Oct"
HBAN,Huntington Bancshares,Financials,21358.2,1.12,May be undervalued,3.81,12,4.27,11,11.8,50,0,19,-1,10,11,6/16/2021,quarterly,52,0,,10,Cut,-94,"Jan, Apr, Jul, Oct"
EPD,Enterprise Products Partners,Energy,55219.5,0.83,May be undervalued,6.36,12,7.11,8.8,10.7,65,1.1,3,6,22,22,4/29/2021,quarterly,60,0.52,3.5,8,Increased,-37,"Feb, May, Aug, Nov"
BEN,Franklin Resources,Financials,17288.2,1.17,May be undervalued,2.99,12,3.34,10.1,11.1,70,3.7,12,14,40,40,6/29/2021,quarterly,40,0.02,0.13,9,Increased,-71,"Jan, Apr, Jul, Oct"
MFC,Manulife Financial Corporation,Financials,39376,1.01,May be undervalued,4.05,11,4.52,7.5,7.7,49,0,11,9,7,10,5/17/2021,quarterly,37,0.02,0.16,10,Cut,-82,"Mar, Jun, Sep, Dec"
PNW,Pinnacle West Capital,Utilities,9899.5,0.47,May be undervalued,3.41,11,3.8,17.5,18,92,6.1,6,4,9,27,4/30/2021,quarterly,65,0.55,4.56,6,Maintained,-40,"Mar, Jun, Sep, Dec"
ED,Consolidated Edison,Utilities,26643.4,0.25,May be undervalued,3.62,11,4.03,17.8,18.5,90,1.3,3,2,46,46,5/18/2021,quarterly,72,0.58,5.39,3,Increased,-26,"Mar, Jun, Sep, Dec"
SR,Spire,Utilities,3909,0.52,May be undervalued,3.11,11,3.44,18.3,19.4,68,4.4,6,3,17,28,6/10/2021,quarterly,53,0.57,5.8,5,Increased,13,"Jan, Apr, Jul, Oct"
AVA,Avista,Utilities,3151.7,0.49,May be undervalued,3.38,10,3.73,22,22,65,4.3,4,6,18,21,5/26/2021,quarterly,75,0.55,4.67,2,Increased,-37,"Mar, Jun, Sep, Dec"
KMB,Kimberly-Clark,Consumer Staples,43609.7,0.28,May be undervalued,3.19,10,3.53,17.4,18.7,88,6.5,4,7,48,48,6/3/2021,quarterly,59,0.92,1.89,10,Increased,-34,"Jan, Apr, Jul, Oct"
MSM,MSC Industrial,Industrials,5105,0.83,May be undervalued,3,10,3.31,18.1,16.3,84,0,13,,17,17,4/12/2021,quarterly,65,0.39,1.49,10,Increased,-44,"Jan, Apr, Jul, Nov"
CPB,Campbell Soup,Consumer Staples,13749.4,0.37,May be undervalued,2.98,9,3.26,16.1,16.6,70,5.7,2,2,0,18,7/13/2021,quarterly,47,0.65,3.28,10,Increased,-26,"Feb, May, Aug, Nov"
WMB,Williams,Energy,33709.7,0.81,May be undervalued,5.43,9,5.93,9.6,10.7,41,2.5,-8,5,3,3,6/10/2021,quarterly,58,0.6,4.15,6,Maintained,-71,"Mar, Jun, Sep, Dec"
MPC,Marathon Petroleum,Energy,41554.5,1.37,Looks reasonably valued,3.38,9,3.67,32,10.6,50,0,14,,9,9,5/18/2021,quarterly,-67,0.54,3.73,9,,,"Mar, Jun, Sep, Dec"
ENB,Enbridge,Energy,82606.2,0.73,Looks reasonably valued,6.11,9,6.63,10.2,10,57,3.1,12,12,25,26,5/13/2021,quarterly,70,0.51,4.55,3,Increased,-23,"Mar, Jun, Sep, Dec"
UVV,Universal,Consumer Staples,1393.9,0.52,Looks reasonably valued,5.01,8,5.43,,,75,1.3,8,5,49,49,7/9/2021,quarterly,87,0.27,2.09,8,Increased,-48,"Feb, May, Aug, Nov"
NWE,NorthWestern Corporation,Utilities,3279.2,0.62,Looks reasonably valued,3.57,8,3.86,18.2,17.4,61,3.3,5,,15,15,6/14/2021,quarterly,68,0.55,5.24,5,Increased,,"Mar, Jun, Sep, Dec"
FRT,Federal Realty Investment Trust,Real Estate,9551.3,1,Looks reasonably valued,3.2,8,3.45,33.5,24.9,60,1,3,4,53,53,6/21/2021,quarterly,101,0.57,6.64,10,Increased,-55,"Jan, Apr, Jul, Oct"
BKH,Black Hills,Utilities,4389.7,0.7,Looks reasonably valued,3.01,8,3.24,17.2,18.8,77,5.6,6,4,51,51,5/17/2021,quarterly,60,0.62,5.72,3,Increased,-64,"Mar, Jun, Sep, Dec"
BPY,Brookfield Property Partners,Real Estate,8219.3,0.78,Looks reasonably valued,6.59,8,7.09,,,50,0,5,,7,7,2/25/2021,quarterly,-126,0.58,16.33,8,,,"Mar, Jun, Sep, Dec"
BDN,Brandywine Realty,Real Estate,2515,1.02,Looks reasonably valued,4.81,7,5.17,14.7,15.1,61,0,5,-4,0,11,7/6/2021,quarterly,74,0.51,6.7,10,Cut,-85,"Jan, Apr, Jul, Oct"
HPE,Hewlett Packard Enterprise,Information Technology,20398.6,1.03,Looks reasonably valued,2.87,7,3.08,8.5,9.9,50,0,,,4,4,6/15/2021,quarterly,29,0.42,2.17,6,,,"Jan, Apr, Jul, Oct"
SLRC,SLR Investment Corp.,Financials,816.5,0.57,Looks reasonably valued,7.93,7,8.48,12.3,11.6,49,0,0,,0,6,6/22/2021,quarterly,117,0.29,,6,,,"Jan, Apr, Jul, Oct"
FHN,First Horizon Corporation,Financials,9998,1.31,Looks reasonably valued,3.14,7,3.36,10.7,11.4,44,0,20,-1,6,9,6/10/2021,quarterly,39,0.26,,9,Cut,-60,"Jan, Apr, Jul, Oct"
CTBI,Community Trust Bancorp,Financials,758.2,0.72,Looks reasonably valued,3.42,7,3.65,10.7,13.4,92,1.3,5,6,40,40,6/14/2021,quarterly,36,0.35,,10,Increased,-25,"Jan, Apr, Jul, Oct"
REYN,Reynolds Consumer Products,Consumer Staples,6334.7,0.31,Looks reasonably valued,2.87,7,3.06,15.7,16,60,4.5,,,0,0,5/12/2021,quarterly,44,0.55,2.82,4,,,"Mar, May, Aug, Nov"
ISBC,Investors Bancorp,Financials,3520.2,0.92,Looks reasonably valued,3.56,7,3.79,11.7,15.7,60,17,19,,5,5,5/7/2021,quarterly,46,0.57,,10,,-53,"Feb, May, Aug, Nov"
CFG,Citizens Financial,Financials,20325.4,1.27,Looks reasonably valued,3.13,6,3.32,10.8,11.4,50,0,31,,6,6,4/28/2021,quarterly,42,0,,9,,,"Feb, May, Aug, Nov"
EBF,Ennis,Industrials,566.7,0.62,Looks reasonably valued,4.37,6,4.64,16.5,15.6,61,11,5,2,0,28,7/8/2021,quarterly,92,0,0,10,Maintained,-64,"Feb, May, Aug, Nov"
AGM,Federal Agricultural Mortgage,Financials,1084.2,0.71,Looks reasonably valued,3.29,6,3.5,9.7,9.2,41,10,38,,9,11,6/14/2021,quarterly,33,0.95,,8,Cut,-92,"Mar, Jun, Sep, Dec"
BCE,BCE,Communications,45544,0.49,Looks reasonably valued,5.31,6,5.64,19.1,14.9,42,5,5,5,12,12,6/14/2021,quarterly,114,0.56,2.64,10,Increased,-52,"Jan, Apr, Jul, Oct"
WASH,Washington Trust Bancorp,Financials,942.9,0.84,Looks reasonably valued,3.64,6,3.84,14.5,13.8,76,2,9,8,10,28,3/31/2021,quarterly,46,0.44,,9,Maintained,-56,"Jan, Apr, Jul, Oct"
UHT,Universal Health Realty Income Trust,Real Estate,953.6,1.18,Looks reasonably valued,3.9,5,4.11,,,65,0.7,2,2,35,35,6/15/2021,quarterly,82,0.66,5.64,10,Increased,-29,"Mar, Jun, Sep, Dec"
SPTN,SpartanNash Company,Consumer Staples,735,0.52,Looks reasonably valued,3.81,5,3.99,11,10.8,50,3.9,7,15,9,14,6/14/2021,quarterly,32,0.52,3.07,9,Maintained,-41,"Mar, Jun, Sep, Dec"
UL,Unilever PLC,Consumer Staples,159495.3,0.36,Looks reasonably valued,3.07,5,3.2,21.2,20.1,75,-2,6,,0,0,5/20/2021,quarterly,78,0.56,1.9,10,Increased,-44,"Mar, Jun, Sep, Nov"
CUZ,Cousins Properties Incorporated,Real Estate,5816.8,0.96,Looks reasonably valued,3.03,4,3.17,22.1,19.2,68,3.3,-1,-7,2,2,4/5/2021,quarterly,68,0.34,4.32,10,Cut,-76,"Jan, Apr, Jul, Oct"
HFC,HollyFrontier Corporation,Energy,5611,1.27,Looks reasonably valued,3.79,4,3.96,38.9,11.6,73,0,1,19,2,27,2/26/2021,quarterly,-73,0.29,2.13,10,Maintained,-67,"Mar, Jun, Sep, Dec"
BOH,Bank of Hawaii Corporation,Financials,3557.9,0.94,Looks reasonably valued,2.94,4,3.06,16.5,16.6,74,0,8,7,5,29,5/27/2021,quarterly,61,0,,10,Maintained,-49,"Mar, Jun, Sep, Dec"
K,Kellogg,Consumer Staples,22091.4,0.32,Looks reasonably valued,3.42,4,3.56,15.9,16.2,66,1.8,3,4,16,30,5/28/2021,quarterly,55,0.7,3.41,9,Increased,-32,"Mar, Jun, Sep, Dec"
BBL,BHP Group,Materials,174828.2,1.06,Looks reasonably valued,4.96,4,5.16,12.6,12.1,48,-10,-1,11,0,0,3/4/2021,semiannual,77,0.27,0.57,9,Increased,-54,"Mar, Sep"
PFE,Pfizer,Healthcare,221612.7,0.45,Looks reasonably valued,3.79,4,3.94,11,13.3,75,2.6,6,7,10,10,5/6/2021,quarterly,54,0.31,1.12,10,Cut,-45,"Mar, Jun, Sep, Dec"
TTE,TotalEnergies SE,Energy,130462.9,0.9,Looks reasonably valued,4.56,4,4.74,10.4,12,50,6,3,7,5,23,6/22/2021,quarterly,170,0.3,1.42,6,Maintained,-39,"Jan, Apr, Jul, Oct"
BHB,Bar Harbor Bankshares,Financials,444.3,0.87,Looks reasonably valued,3.09,4,3.21,11.9,13.2,82,9.1,6,5,17,27,5/17/2021,quarterly,38,0.46,,10,Maintained,-40,"Mar, Jun, Sep, Dec"
NFG,National Fuel Gas,Utilities,4991.7,0.5,Looks reasonably valued,3.18,4,3.3,13.2,16.2,95,2.3,2,3,50,50,3/30/2021,quarterly,53,0.56,2.58,4,Increased,-40,"Jan, Apr, Jul, Oct"
PETS,PetMed Express,Consumer Discretionary,667.2,0.36,Looks reasonably valued,3.57,4,3.7,20.3,18.4,50,7.1,9,,11,11,5/13/2021,quarterly,73,0,0,10,,-7,"Feb, May, Aug, Nov"
WU,Western Union Company,Information Technology,10014.4,0.79,Looks reasonably valued,3.75,3,3.88,11.4,11.4,48,4.4,8,,6,14,6/15/2021,quarterly,49,0.89,1.21,10,Increased,-49,"Mar, Jun, Sep, Dec"
OMC,Omnicom,Communications,17890.4,0.7,Looks reasonably valued,3.27,3,3.37,13.7,13.1,70,7.7,5,11,0,32,6/10/2021,quarterly,49,0.37,0.87,10,Maintained,-56,"Jan, Apr, Jul, Oct"
NHI,National Health Investors,Real Estate,3022.6,0.89,Looks reasonably valued,5.28,3,5.42,13.3,15.2,60,-18,5,6,0,0,6/29/2021,quarterly,83,0.48,5.07,10,Maintained,-25,"Jan, May, Aug, Nov"
RIO,Rio Tinto Group,Materials,141645.1,0.88,Looks reasonably valued,5.32,2,5.43,6.2,9.9,47,17,17,11,4,4,3/4/2021,semiannual,61,0.09,0.13,9,Cut,-71,"Apr, Sep"
CSWC,Capital Southwest,Financials,549.8,0.65,Looks reasonably valued,6.36,2,6.48,14.1,13.1,50,3,64,13,5,5,3/12/2021,quarterly,99,0.51,6.51,4,Cut,-54,"Mar, Jun, Sep, Dec"
FNF,Fidelity National Financial,Financials,13524.8,1.03,Looks reasonably valued,3.05,2,3.1,9.6,13.7,58,9.1,11,,6,6,6/15/2021,quarterly,22,0.02,0.08,10,Cut,-9,"Mar, Jun, Sep, Dec"
QSR,Restaurant Brands International,Consumer Discretionary,20990.9,0.75,Looks reasonably valued,3.04,2,3.09,24.9,24.4,45,1.9,36,,8,8,6/22/2021,quarterly,100,0.76,5.93,10,Cut,,"Jan, Apr, Jul, Oct"
OCSL,Oaktree Specialty Lending Corporation,Financials,1203,0.57,Looks reasonably valued,7.63,2,7.76,11.8,10.4,50,8.3,-13,,1,1,6/14/2021,quarterly,86,0.46,,5,,,"Mar, Jun, Sep, Dec"
OTTR,Otter Tail Corporation,Utilities,2066.9,0.7,Looks reasonably valued,3.1,2,3.15,18.6,22.3,66,5.4,4,2,7,30,5/13/2021,quarterly,61,0.53,3.73,5,Maintained,-53,"Mar, Jun, Sep, Dec"
AEP,American Electric Power,Utilities,42598.7,0.32,Looks reasonably valued,3.42,2,3.47,17.7,18.6,81,5.7,6,1,11,16,5/7/2021,quarterly,63,0.63,5.07,5,Maintained,-47,"Mar, Jun, Sep, Dec"
REG,Regency Centers,Real Estate,11234.2,0.99,Looks reasonably valued,3.53,1,3.59,23.7,20.4,50,0,4,1,7,10,6/14/2021,quarterly,88,0.38,5.47,10,Cut,-69,"Jan, Apr, Jul, Aug"
NYCB,New York Community Bancorp,Financials,5506.4,0.76,Looks reasonably valued,5.7,1,5.77,9.4,13.8,41,0,-7,5,0,4,5/6/2021,quarterly,68,0.66,,9,Maintained,-54,"Feb, May, Aug, Nov"
UMPQ,Umpqua Holdings Corporation,Financials,4209.5,1.21,Looks reasonably valued,4.4,1,4.44,11.5,12,41,0,6,9,0,11,5/17/2021,quarterly,40,0,,9,Cut,-64,"Feb, May, Aug, Nov"
SRE,Sempra Energy,Utilities,43615.7,0.66,Looks reasonably valued,3.05,1,3.08,17.9,20.3,79,5.3,8,7,10,20,3/24/2021,quarterly,54,0.5,3.78,0,Increased,-36,"Jan, Apr, Jul, Oct"
GTY,Getty Realty Corp.,Real Estate,1498.6,0.81,Looks reasonably valued,4.58,1,4.62,17.3,16.5,49,5.4,10,4,8,8,6/23/2021,quarterly,82,0.43,4.85,10,Increased,-47,"Jan, Apr, Jul, Oct"
BPMP,BP Midstream Partners LP,Energy,1631.7,0.58,Looks reasonably valued,8.83,1,8.9,9.6,9.4,50,0,,,3,3,4/28/2021,quarterly,67,0.57,1.72,4,,,"Feb, May, Aug, Nov"
VZ,Verizon,Communications,237184.5,0.37,Looks reasonably valued,4.39,0,4.4,11.2,12,87,2,2,2,14,30,7/8/2021,quarterly,50,0.7,3.18,10,Increased,-39,"Feb, May, Aug, Nov"
PFG,Principal Financial,Financials,17558.4,1.2,Looks reasonably valued,3.79,0,3.8,10.3,9.8,72,8.9,8,,12,12,6/2/2021,quarterly,42,0.17,1.41,10,Cut,-91,"Mar, Jun, Sep, Dec"
TU,Telus,Communications,30907.2,0.6,Looks reasonably valued,4.55,0,4.55,24.1,16.5,72,5,7,6,17,18,6/9/2021,quarterly,120,0.59,3.22,8,Increased,-58,"Jan, Apr, Jul, Oct"
TFC,Truist Financial,Financials,76952,1.12,Looks reasonably valued,3.18,0,3.17,12.5,12.9,55,0,11,4,8,8,5/13/2021,quarterly,43,0.17,,10,Cut,-63,"Mar, Jun, Sep, Dec"
CTRE,CareTrust REIT,Real Estate,2286.1,0.99,Looks reasonably valued,4.45,0,4.44,15,13.9,61,6,9,,6,6,3/30/2021,quarterly,71,0.41,3.57,9,,,"Jan, Apr, Jul, Oct"
EVRG,Evergy,Utilities,14792.3,0.4,Looks reasonably valued,3.31,0,3.3,19.4,19.9,87,5.9,7,2,17,17,5/20/2021,quarterly,65,0.58,4.74,5,,,"Mar, Jun, Sep, Dec"
FCPT,Four Corners Property Trust,Real Estate,2193,0.97,Looks reasonably valued,4.41,0,4.39,18.3,18.2,46,4.1,44,,5,5,3/30/2021,quarterly,85,0.48,5.02,6,,,"Jan, Apr, Jul, Oct"
HTA,Healthcare Trust of America,Real Estate,6359.1,0.6,Looks reasonably valued,4.4,-1,4.38,19.5,19.7,70,1.6,2,,7,7,3/31/2021,quarterly,86,0.5,6.41,10,,,"Jan, Apr, Jul, Oct"
IBM,International Business Machines,Information Technology,133456.6,0.73,Looks reasonably valued,4.45,-1,4.41,13.3,10.8,65,0.6,5,14,25,26,5/7/2021,quarterly,76,0.66,1.98,10,Increased,-28,"Mar, Jun, Sep, Dec"
UBSI,United Bankshares,Financials,4991.7,1.09,Looks reasonably valued,3.7,-1,3.65,15.8,15.2,79,0,2,3,47,47,6/10/2021,quarterly,44,0,,10,Increased,-55,"Jan, Apr, Jul, Oct"
BHP,BHP Group,Materials,174828.2,1,Looks reasonably valued,4.23,-1,4.18,17.5,14.2,48,-10,-1,11,0,0,3/4/2021,semiannual,77,0.27,0.57,9,Increased,-53,"Mar, Sep"
HIW,Highwoods Properties,Real Estate,4971.8,1.01,Looks reasonably valued,4.09,-1,4.04,20,20.8,64,0,2,-1,5,16,5/14/2021,quarterly,54,0.49,5.08,10,Maintained,-52,"Mar, Jun, Sep, Dec"
BPYU,Brookfield Property,Real Estate,677.7,0.78,Looks reasonably valued,7.21,-2,7.1,,,50,0,13,3,2,2,2/25/2021,quarterly,-20,0.84,25.12,9,,,"Mar, Jun, Sep, Dec"
FLO,Flowers Foods,Consumer Staples,5199.8,0.22,Looks reasonably valued,3.48,-2,3.43,21.7,20.9,62,5,7,,18,18,6/9/2021,quarterly,61,0.42,1.81,10,Increased,-1,"Mar, Jun, Sep, Dec"
HR,Healthcare Realty Trust Incorporated,Real Estate,4489.2,0.75,Looks reasonably valued,3.86,-2,3.79,22.8,23,60,0.8,0,-3,1,10,5/14/2021,quarterly,88,0.46,5.51,10,Cut,-48,"Mar, May, Aug, Dec"
SWM,Schweitzer-Mauduit International,Materials,1281.2,0.86,Looks reasonably valued,4.39,-2,4.31,12.2,11.6,53,0,3,9,0,24,5/20/2021,quarterly,52,0.47,2.32,10,Maintained,-47,"Mar, Jun, Sep, Dec"
BNS,Bank of Nova Scotia,Financials,80972.5,0.71,Looks reasonably valued,4.54,-2,4.45,10.5,9.5,70,0,6,10,10,24,7/5/2021,quarterly,59,0.72,,3,Maintained,-61,"Jan, Apr, Jul, Oct"
